name,type,address,quarter,city,phone,rating,verified,is_top_partner,special_badge,description,image_url,url,activities,has_contact_form,offers_free_trial
Centre Kinezium,Club de sport,au Quartier Californie  à  Casablanca,au Quartier Californie,Casablanca,N/A,0,True,True,Meilleur choix sur Casablanca,C’est dans le but de répondre à vos exigences et satisfaire vos attentes qu’a été crée KINEZIUM. Un centre 100% femmes à Casablanca,https://www.clubs.ma/assets/img280/1261/kinezium-club-de-sport-casablanca-1261.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/kinezium,"Aqua gym, Fitness, Natation, Musculation",True,True
Campus Sport,Club de sport,au Quartier Hay Nassim  à  Casablanca,au Quartier Hay Nassim,Casablanca,N/A,0,True,True,Meilleur choix sur Casablanca,"Campus Sport Casablanca, érigé en 2014 sur plus de 10 000 m², offre un complexe sportif moderne. En tant que club de sport polyvalent, Campus Sport abrite des écoles de formation dédiées aux enfants, couvrant une gamme variée de disciplines telles que le footb...",https://www.clubs.ma/assets/img280/1613/campus-sport-club-de-sport-casablanca-1613.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/campus-sport,"Natation, Musculation, Fitness, Football",True,True
PlayFitness,Salle de sport,au Quartier Sidi Moumen  à  Casablanca,au Quartier Sidi Moumen,Casablanca,N/A,0,True,False,N/A,"Chez PlayFitness, nous vous accueillons chaleureusement et vous proposons une gamme complète de services et d'activités pour répondre à vos besoins de fitness. Que vous soyez adepte de l'aqua gym, de la natation, de la musculation, du fitness, de la danse, de...",https://www.clubs.ma/assets/img280/1660/playfitness-salle-de-sport-casablanca-1660.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/playfitness,"Aqua gym, Natation, Musculation, Fitness",True,False
Nabda Club,Salle de sport,au Quartier Maarif  à  Casablanca,au Quartier Maarif,Casablanca,N/A,0,True,False,N/A,"NABDA est la 1ère salle de sport au Maroc adaptée et accessible aux personnes aux besoins physiques spécifiques. Conçue avec l'inclusivité comme priorité, NABDA offre un environnement accueillant et équipé pour répondre aux besoins variés de ses membres.",https://www.clubs.ma/assets/img280/1565/nabda-club-salle-de-sport-casablanca-1565.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/nabda-club,"Yoga, Fitness",True,True
Sport Plazza Californie,Club de sport,au Quartier Californie  à  Casablanca,au Quartier Californie,Casablanca,N/A,0,True,False,N/A,Le bien être avant tout. Faites du sport aujourd'hui c est éviter d aller chez le médecin demain ...,https://www.clubs.ma/assets/img280/609/sport-plazza-club-de-sport-casablanca-609.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/sport-plazza,"Aqua gym, Musculation, Fitness, Danse orientale",True,True
Le Temple Sports,Club des arts martiaux,au Quartier Bourgogne  à  Casablanca,au Quartier Bourgogne,Casablanca,N/A,0,True,False,N/A,"Nous vous invitons alors à venir découvrir Le TEMPLE Sports et toutes ses activités dans un cadre convivial où l'esprit et le corps se rejoignent pour atteindre cette harmonie que nous, adeptes d'arts martiaux, recherchons tant.",https://www.clubs.ma/assets/img280/77/le-temple-club-des-arts-martiaux-casablanca-77.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/le-temple,"Aikido, Taekwondo, Self défense, Kung fu",False,False
Arc Casablanca de tir à l'arc,Club de sport,au Quartier Hay Calogera  à  Casablanca,au Quartier Hay Calogera,Casablanca,N/A,0,True,False,N/A,"Arc Casablanca de tir à l'arc est une association sportive dynamique de plus d'une centaine d'archers, ce qui en fait le club professionnel de Casablanca. Ce qui ne l'empêche pas d'être un club convivial où les gens aiment à se retrouver ensemble pour pratique...",https://www.clubs.ma/assets/img280/961/olampya-casablanca-de-tir-a-l-arc-club-de-sport-casablanca-961.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/olampya-casablanca-de-tir-a-l-arc,Tir à l'arc,True,True
Fitness Park Casablanca Racine,Salle de sport,au Quartier Racine  à  Casablanca,au Quartier Racine,Casablanca,N/A,0,True,False,N/A,"Fitness Park Casablanca Racine est idéalement situé en plein cœur du quartier Racine, au centre-ville de Casablanca. Nous te proposons une salle de sport immersive de qualité supérieure, dotée de technologies de pointe telles que le cardio connecté, le Sismo,...",https://www.clubs.ma/assets/img280/1605/fitness-park-casablanca-racine-salle-de-sport-casablanca-1605.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/fitness-park-casablanca-racine,"Musculation, Fitness, Cross-training",True,True
Passage Fitness ANFA,Club de sport,au Quartier Ain Diab  à  Casablanca,au Quartier Ain Diab,Casablanca,N/A,0,True,False,N/A,"Passage Fitness,  est la référence du Fitness au Maroc, un concept 5 étoiles all inclusive installé à Anfa place shopping center, ouvert 7j/7  avec parking gratuit, une piscine extérieure et accès direct à plage !",https://www.clubs.ma/assets/img280/929/passage-fitness-anfa-club-de-sport-casablanca-929.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/passage-fitness-anfa,"Musculation, Kick Boxing, Fitness, Danse africaine",True,True
TIBU Basketball Academy,Club de sport,au Quartier Bourgogne  à  Casablanca,au Quartier Bourgogne,Casablanca,N/A,0,True,False,N/A,"TIBU Basketball Academy , un projet ambitieux! Cette dernière  s’inscrit dans la continuité des objectifs de l’association TIBU Maroc, l’objectif est de rassembler tous les jeunes passionnés de la balle orange afin de les former dans un cadre professionnel pou...",https://www.clubs.ma/assets/img280/868/tibu-basketball-academy-club-de-sport-casablanca-868.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/tibu-basketball-academy,Basketball,True,True
